timestamp,gpu_index,memory_used_mib,memory_total_mib,gpu_utilization_percent,power_watts
2026/09/22 23:27:26.104, 0, 0, 97871, 0, 74.12
2026/09/22 23:27:26.108, 1, 0, 97871, 0, 78.10
2026/09/22 23:27:26.111, 2, 0, 97871, 0, 75.22
2026/09/22 23:27:26.115, 3, 0, 97871, 0, 74.90
2026/09/22 23:27:26.318, 0, 0, 97871, 0, 74.12
2026/09/22 23:27:26.318, 1, 0, 97871, 0, 78.08
2026/09/22 23:27:26.318, 2, 0, 97871, 0, 75.20
2026/09/22 23:27:26.318, 3, 0, 97871, 0, 74.89
2026/09/22 23:27:26.518, 0, 0, 97871, 0, 74.12
2026/09/22 23:27:26.519, 1, 0, 97871, 0, 78.04
2026/09/22 23:27:26.519, 2, 0, 97871, 0, 75.18
2026/09/22 23:27:26.519, 3, 0, 97871, 0, 74.86
2026/09/22 23:27:26.719, 0, 0, 97871, 0, 74.14
2026/09/22 23:27:26.719, 1, 0, 97871, 0, 78.05
2026/09/22 23:27:26.719, 2, 0, 97871, 0, 75.17
2026/09/22 23:27:26.719, 3, 0, 97871, 0, 74.82
2026/09/22 23:27:26.919, 0, 0, 97871, 0, 74.11
2026/09/22 23:27:26.919, 1, 0, 97871, 0, 78.02
2026/09/22 23:27:26.919, 2, 0, 97871, 0, 75.15
2026/09/22 23:27:26.919, 3, 0, 97871, 0, 74.82
2026/09/22 23:27:27.119, 0, 0, 97871, 0, 74.10
2026/09/22 23:27:27.119, 1, 0, 97871, 0, 78.01
2026/09/22 23:27:27.119, 2, 0, 97871, 0, 75.16
2026/09/22 23:27:27.119, 3, 0, 97871, 0, 74.83
2026/09/22 23:27:27.319, 0, 0, 97871, 0, 74.09
2026/09/22 23:27:27.319, 1, 0, 97871, 0, 78.01
2026/09/22 23:27:27.319, 2, 0, 97871, 0, 75.14
2026/09/22 23:27:27.319, 3, 0, 97871, 0, 74.83
2026/09/22 23:27:27.519, 0, 0, 97871, 0, 74.08
2026/09/22 23:27:27.519, 1, 0, 97871, 0, 78.01
2026/09/22 23:27:27.519, 2, 0, 97871, 0, 75.14
2026/09/22 23:27:27.519, 3, 0, 97871, 0, 74.83
2026/09/22 23:27:27.720, 0, 0, 97871, 0, 74.07
2026/09/22 23:27:27.720, 1, 0, 97871, 0, 77.97
2026/09/22 23:27:27.720, 2, 0, 97871, 0, 75.13
2026/09/22 23:27:27.720, 3, 0, 97871, 0, 74.83
2026/09/22 23:27:27.920, 0, 0, 97871, 0, 74.09
2026/09/22 23:27:27.920, 1, 0, 97871, 0, 77.99
2026/09/22 23:27:27.920, 2, 0, 97871, 0, 75.14
2026/09/22 23:27:27.920, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:28.120, 0, 0, 97871, 0, 74.09
2026/09/22 23:27:28.120, 1, 0, 97871, 0, 77.98
2026/09/22 23:27:28.120, 2, 0, 97871, 0, 75.12
2026/09/22 23:27:28.120, 3, 0, 97871, 0, 74.82
2026/09/22 23:27:28.320, 0, 0, 97871, 0, 74.07
2026/09/22 23:27:28.320, 1, 0, 97871, 0, 77.94
2026/09/22 23:27:28.320, 2, 0, 97871, 0, 75.12
2026/09/22 23:27:28.320, 3, 0, 97871, 0, 74.82
2026/09/22 23:27:28.520, 0, 0, 97871, 0, 74.07
2026/09/22 23:27:28.520, 1, 0, 97871, 0, 77.93
2026/09/22 23:27:28.520, 2, 0, 97871, 0, 75.10
2026/09/22 23:27:28.520, 3, 0, 97871, 0, 74.83
2026/09/22 23:27:28.721, 0, 0, 97871, 0, 74.08
2026/09/22 23:27:28.721, 1, 0, 97871, 0, 77.94
2026/09/22 23:27:28.721, 2, 0, 97871, 0, 75.11
2026/09/22 23:27:28.721, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:28.921, 0, 0, 97871, 0, 74.06
2026/09/22 23:27:28.921, 1, 0, 97871, 0, 77.90
2026/09/22 23:27:28.921, 2, 0, 97871, 0, 75.10
2026/09/22 23:27:28.921, 3, 0, 97871, 0, 74.81
2026/09/22 23:27:29.121, 0, 0, 97871, 0, 74.04
2026/09/22 23:27:29.121, 1, 0, 97871, 0, 77.89
2026/09/22 23:27:29.121, 2, 0, 97871, 0, 75.09
2026/09/22 23:27:29.121, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:29.321, 0, 0, 97871, 0, 74.06
2026/09/22 23:27:29.321, 1, 0, 97871, 0, 77.89
2026/09/22 23:27:29.321, 2, 0, 97871, 0, 75.07
2026/09/22 23:27:29.321, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:29.521, 0, 0, 97871, 0, 74.06
2026/09/22 23:27:29.521, 1, 0, 97871, 0, 77.88
2026/09/22 23:27:29.521, 2, 0, 97871, 0, 75.06
2026/09/22 23:27:29.521, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:29.722, 0, 0, 97871, 0, 74.04
2026/09/22 23:27:29.722, 1, 0, 97871, 0, 77.85
2026/09/22 23:27:29.722, 2, 0, 97871, 0, 75.03
2026/09/22 23:27:29.722, 3, 0, 97871, 0, 74.82
2026/09/22 23:27:29.922, 0, 0, 97871, 0, 74.04
2026/09/22 23:27:29.922, 1, 0, 97871, 0, 77.85
2026/09/22 23:27:29.922, 2, 0, 97871, 0, 75.01
2026/09/22 23:27:29.922, 3, 0, 97871, 0, 74.84
2026/09/22 23:27:30.122, 0, 0, 97871, 0, 74.06
2026/09/22 23:27:30.122, 1, 0, 97871, 0, 77.83
2026/09/22 23:27:30.122, 2, 0, 97871, 0, 75.01
2026/09/22 23:27:30.122, 3, 0, 97871, 0, 74.81
2026/09/22 23:27:30.322, 0, 0, 97871, 0, 74.01
2026/09/22 23:27:30.322, 1, 0, 97871, 0, 77.81
2026/09/22 23:27:30.322, 2, 0, 97871, 0, 74.99
2026/09/22 23:27:30.322, 3, 0, 97871, 0, 74.79
2026/09/22 23:27:30.522, 0, 0, 97871, 0, 73.99
2026/09/22 23:27:30.523, 1, 0, 97871, 0, 77.80
2026/09/22 23:27:30.523, 2, 0, 97871, 0, 74.97
2026/09/22 23:27:30.523, 3, 0, 97871, 0, 74.77
2026/09/22 23:27:30.723, 0, 0, 97871, 0, 74.00
2026/09/22 23:27:30.723, 1, 0, 97871, 0, 77.79
2026/09/22 23:27:30.723, 2, 0, 97871, 0, 74.95
2026/09/22 23:27:30.723, 3, 0, 97871, 0, 74.77
2026/09/22 23:27:30.923, 0, 0, 97871, 0, 73.97
2026/09/22 23:27:30.923, 1, 0, 97871, 0, 77.76
2026/09/22 23:27:30.923, 2, 0, 97871, 0, 74.93
2026/09/22 23:27:30.923, 3, 0, 97871, 0, 74.75
2026/09/22 23:27:31.123, 0, 0, 97871, 0, 73.96
2026/09/22 23:27:31.123, 1, 0, 97871, 0, 77.78
2026/09/22 23:27:31.123, 2, 0, 97871, 0, 74.91
2026/09/22 23:27:31.123, 3, 0, 97871, 0, 74.73
2026/09/22 23:27:31.323, 0, 0, 97871, 0, 73.95
2026/09/22 23:27:31.324, 1, 0, 97871, 0, 77.75
2026/09/22 23:27:31.324, 2, 0, 97871, 0, 74.91
2026/09/22 23:27:31.324, 3, 0, 97871, 0, 74.73
2026/09/22 23:27:31.524, 0, 0, 97871, 0, 73.95
2026/09/22 23:27:31.524, 1, 0, 97871, 0, 77.72
2026/09/22 23:27:31.524, 2, 0, 97871, 0, 74.90
2026/09/22 23:27:31.524, 3, 0, 97871, 0, 74.74
2026/09/22 23:27:31.724, 0, 0, 97871, 0, 73.92
2026/09/22 23:27:31.724, 1, 0, 97871, 0, 77.71
2026/09/22 23:27:31.724, 2, 0, 97871, 0, 74.90
