timestamp,gpu_index,memory_used_mib,memory_total_mib,gpu_utilization_percent,power_watts
2026/09/22 23:20:56.401, 0, 0, 97871, 0, 74.54
2026/09/22 23:20:56.405, 1, 0, 97871, 0, 78.20
2026/09/22 23:20:56.408, 2, 0, 97871, 0, 75.28
2026/09/22 23:20:56.412, 3, 0, 97871, 0, 74.84
2026/09/22 23:20:56.615, 0, 0, 97871, 0, 74.52
2026/09/22 23:20:56.615, 1, 0, 97871, 0, 78.06
2026/09/22 23:20:56.615, 2, 0, 97871, 0, 75.28
2026/09/22 23:20:56.615, 3, 0, 97871, 0, 74.81
2026/09/22 23:20:56.815, 0, 0, 97871, 0, 74.50
2026/09/22 23:20:56.815, 1, 0, 97871, 0, 78.00
2026/09/22 23:20:56.815, 2, 0, 97871, 0, 75.27
2026/09/22 23:20:56.815, 3, 0, 97871, 0, 74.80
2026/09/22 23:20:57.015, 0, 0, 97871, 0, 74.43
2026/09/22 23:20:57.015, 1, 0, 97871, 0, 77.99
2026/09/22 23:20:57.016, 2, 0, 97871, 0, 75.26
2026/09/22 23:20:57.016, 3, 0, 97871, 0, 74.77
2026/09/22 23:20:57.216, 0, 0, 97871, 0, 74.39
2026/09/22 23:20:57.216, 1, 0, 97871, 0, 77.95
2026/09/22 23:20:57.216, 2, 0, 97871, 0, 75.25
2026/09/22 23:20:57.216, 3, 0, 97871, 0, 74.76
2026/09/22 23:20:57.416, 0, 0, 97871, 0, 74.38
2026/09/22 23:20:57.416, 1, 0, 97871, 0, 77.89
2026/09/22 23:20:57.416, 2, 0, 97871, 0, 75.24
2026/09/22 23:20:57.416, 3, 0, 97871, 0, 74.76
2026/09/22 23:20:57.616, 0, 0, 97871, 0, 74.31
2026/09/22 23:20:57.616, 1, 0, 97871, 0, 77.92
2026/09/22 23:20:57.616, 2, 0, 97871, 0, 75.21
2026/09/22 23:20:57.616, 3, 0, 97871, 0, 74.75
2026/09/22 23:20:57.816, 0, 0, 97871, 0, 74.27
2026/09/22 23:20:57.816, 1, 0, 97871, 0, 77.89
2026/09/22 23:20:57.816, 2, 0, 97871, 0, 75.20
2026/09/22 23:20:57.816, 3, 0, 97871, 0, 74.74
2026/09/22 23:20:58.016, 0, 0, 97871, 0, 74.27
2026/09/22 23:20:58.016, 1, 0, 97871, 0, 77.86
2026/09/22 23:20:58.016, 2, 0, 97871, 0, 75.21
2026/09/22 23:20:58.016, 3, 0, 97871, 0, 74.73
2026/09/22 23:20:58.216, 0, 0, 97871, 0, 74.25
2026/09/22 23:20:58.216, 1, 0, 97871, 0, 77.86
