strategy	batch_size	status	exit_code
padded	8	complete	0
padded	16	complete	0
padded	32	complete	0
padded	64	complete	0
padded	128	complete	0
padded	256	complete	0
padded	512	complete	0
padded	512	capped	0
multi_kernel	8	complete	0
multi_kernel	16	complete	0
multi_kernel	32	complete	0
multi_kernel	64	complete	0
multi_kernel	128	complete	0
multi_kernel	256	complete	0
multi_kernel	512	complete	0
multi_kernel	512	capped	0
cross_layer	8	complete	0
cross_layer	16	complete	0
cross_layer	32	complete	0
cross_layer	64	complete	0
cross_layer	128	complete	0
cross_layer	256	complete	0
cross_layer	512	complete	0
cross_layer	512	capped	0
