strategy,batch_size,measured_samples,measured_batches,total_measured_seconds,requests_per_second,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,batch_latency_p50_seconds,batch_latency_p95_seconds,gpu0_peak_memory_mib,gpu1_peak_memory_mib,gpu2_peak_memory_mib,gpu3_peak_memory_mib,mean_peak_memory_mib,max_peak_memory_mib,peak_memory_imbalance_mib,gpu_kv_cache_tokens,gpu_kv_cache_gib,mean_non_kv_peak_memory_mib,max_non_kv_peak_memory_mib,pre_measure_baseline_mean_mib,activation_workspace_delta_mean_mib,activation_workspace_delta_max_mib,rank0_model_loading_gib
padded,8,32,4,1.317007064819336,24.297515825695047,7036.408723647375,50.11362639049604,7086.522350037872,0.3091927766799927,0.39734326601028436,87109.0,87109.0,87109.0,87109.0,87109.0,87109.0,0.0,2902720,66.44,19074.440000000002,19074.440000000002,87105.0,4.0,4.0,14.9352
padded,16,64,4,2.1385011672973633,29.927502953333978,8916.057793925296,67.33688164500145,8983.394675570298,0.5399312973022461,0.5862427592277527,87107.0,87107.0,87107.0,87107.0,87107.0,87107.0,0.0,2902720,66.44,19072.440000000002,19072.440000000002,87105.0,2.0,2.0,14.9352
padded,32,128,4,4.199987411499023,30.476281821596064,8882.407575284866,75.23832074706529,8957.64589603193,1.0177552700042725,1.174457275867462,87419.0,87419.0,87419.0,87419.0,87419.0,87419.0,0.0,2902720,66.44,19384.440000000002,19384.440000000002,87105.0,314.0,314.0,14.9352
padded,64,256,4,6.311527490615845,40.56070426384547,11939.74043716745,102.66928266785885,12042.409719835308,1.540751338005066,1.7336638569831848,87501.0,87501.0,87501.0,87501.0,87501.0,87501.0,0.0,2856032,65.37,20562.119999999995,20562.119999999995,87497.0,4.0,4.0,15.1227
padded,128,512,4,10.09562063217163,50.71505939599333,15164.595182205068,122.03311167160895,15286.628293876678,2.551732897758484,2.7218998074531555,89031.0,89031.0,89031.0,89031.0,89031.0,89031.0,0.0,2822768,64.61,22870.36,22870.36,89030.0,1.0,1.0,15.4978
padded,256,1024,4,17.62472414970398,58.10020011105813,17491.564542028755,139.97382194724648,17631.538363976,4.340135216712952,4.786346006393432,93001.0,93001.0,93001.0,93001.0,93001.0,93001.0,0.0,2756352,63.09,28396.839999999997,28396.839999999997,92999.0,2.0,2.0,16.2483
padded,512,2048,4,29.451581239700317,69.5378622740746,20732.774754277107,168.92132070972713,20901.696074986834,7.286760568618774,7.802839565277099,94593.0,94595.0,94595.0,94595.0,94594.5,94595.0,2.0,2539520,58.13,35069.38,35069.88,94591.0,3.5,4.0,17.7478
multi_kernel,8,32,4,2.313183546066284,13.833748754792087,4006.167178458071,31.125934698282194,4037.293113156353,0.5470194816589355,0.7520932197570801,86987.0,86793.0,86617.0,86489.0,86721.5,86987.0,498.0,2629776,60.19,25086.940000000002,25352.440000000002,86719.5,2.0,2.0,21.1199
multi_kernel,16,64,4,3.9316508769989014,16.278149307308876,4849.616763163412,40.44102718534549,4890.0577903487565,0.9851785898208618,1.2741968512535096,86987.0,86793.0,86617.0,86489.0,86721.5,86987.0,498.0,2629776,60.19,25086.940000000002,25352.440000000002,86721.0,0.5,2.0,21.1199
multi_kernel,32,128,4,5.03874945640564,25.403128515802013,7403.821190707109,60.53089216655948,7464.352082873668,1.2848387956619263,1.3403475403785707,87299.0,87105.0,86929.0,86801.0,87033.5,87299.0,498.0,2629776,60.19,25398.940000000002,25664.440000000002,86720.25,313.25,314.0,21.1199
multi_kernel,64,256,4,7.326520681381226,34.94155154036061,10285.646253822244,84.21459882969724,10369.860852651942,1.8634498119354248,1.909018909931183,87123.0,86929.0,86721.0,86593.0,86841.5,87123.0,530.0,2580352,59.06,26364.059999999998,26645.559999999998,86839.5,2.0,2.0,21.3074
multi_kernel,128,512,4,12.428090572357178,41.196996193349385,12318.545564876986,98.48656902472587,12417.032133901712,2.9752469062805176,3.5712408900260924,88853.0,88651.0,88501.0,88383.0,88597.0,88853.0,470.0,2536256,58.05,29153.800000000003,29409.800000000003,88597.0,0.0,0.0,21.6809
multi_kernel,256,1024,4,20.17646336555481,50.752204756962975,15279.387393843333,120.13998469812329,15399.527378541457,4.92286741733551,5.762684857845306,91327.0,91133.0,90989.0,90863.0,91078.0,91327.0,464.0,2447968,56.03,33703.28,33952.28,91076.0,2.0,2.0,22.4314
multi_kernel,512,2048,4,31.978317260742188,64.04339488226304,19094.594472286757,155.48035124736904,19250.074823534127,8.082805752754211,8.55877445936203,93263.0,93069.0,92925.0,92799.0,93014.0,93263.0,464.0,2197552,50.3,41506.8,41755.8,93014.0,0.0,0.0,23.931
cross_layer,8,32,4,1.3237512111663818,24.17372670186583,7000.560167068458,49.10288236316497,7049.663049431623,0.31393349170684814,0.3823369979858398,87061.0,87065.0,87023.0,87267.0,87104.0,87267.0,244.0,3078864,70.48,14932.479999999996,15095.479999999996,87100.0,4.0,4.0,10.8981
cross_layer,16,64,4,2.483936071395874,25.76555843646754,7676.123479814478,60.790614436040606,7736.914094250518,0.5759397745132446,0.8090339064598082,87059.0,87063.0,87021.0,87265.0,87102.0,87265.0,244.0,3078864,70.48,14930.479999999996,15093.479999999996,87100.0,2.0,2.0,10.8981
cross_layer,32,128,4,4.016323566436768,31.869942220208124,9288.594253649095,76.93603239097116,9365.530286040066,0.9780260324478149,1.1143329501152037,87059.0,87063.0,87287.0,87265.0,87168.5,87287.0,228.0,3078864,70.48,14996.979999999996,15115.479999999996,87100.0,68.5,268.0,10.8981
cross_layer,64,256,4,6.613212585449219,38.710384203173255,11395.06692493254,95.11262368670303,11490.179548619242,1.6437697410583496,1.7995521187782286,87421.0,87489.0,87383.0,87915.0,87552.0,87915.0,532.0,3032224,69.41,16476.160000000003,16839.160000000003,87548.75,3.25,4.0,11.0856
cross_layer,128,512,4,10.421376466751099,49.12978641866661,14690.57379209411,118.21854856991654,14808.792340664026,2.6320137977600098,2.826289415359497,88951.0,89083.0,89041.0,89317.0,89098.0,89317.0,366.0,2998944,68.64,18810.64,19029.64,89096.75,1.25,2.0,11.4611
cross_layer,256,1024,4,17.626098155975342,58.095671029317316,17490.201023048885,136.50213329739987,17626.703156346284,4.412597179412842,4.671048510074615,92505.0,92509.0,92967.0,92487.0,92617.0,92967.0,480.0,2932496,67.12,23886.119999999995,24236.119999999995,92615.0,2.0,2.0,12.2116
cross_layer,512,2048,4,29.84534740447998,68.6204108213055,20459.235797280184,167.76484227650226,20627.000639556685,7.415853023529053,7.864335036277771,94675.0,94679.0,94657.0,94657.0,94667.0,94679.0,22.0,2715680,62.16,31015.160000000003,31027.160000000003,94663.0,4.0,4.0,13.7112
