strategy,batch_size,measured_samples,measured_batches,total_measured_seconds,requests_per_second,input_tokens_per_second,output_tokens_per_second,total_tokens_per_second,batch_latency_p50_seconds,batch_latency_p95_seconds,gpu0_peak_memory_mib,gpu1_peak_memory_mib,gpu2_peak_memory_mib,gpu3_peak_memory_mib,mean_peak_memory_mib,max_peak_memory_mib,peak_memory_imbalance_mib,gpu_kv_cache_tokens,gpu_kv_cache_gib,mean_non_kv_peak_memory_mib,max_non_kv_peak_memory_mib,pre_measure_baseline_mean_mib,activation_workspace_delta_mean_mib,activation_workspace_delta_max_mib,rank0_model_loading_gib
padded,8,32,4,1.0820140838623047,29.574476411410803,8564.583528266998,29.574476411410803,8594.158004678407,0.26717686653137207,0.29149951934814455,87109.0,87109.0,87109.0,87109.0,87109.0,87109.0,0.0,2902720,66.44,19074.440000000002,19074.440000000002,87105.0,4.0,4.0,14.9352
padded,16,64,4,1.6677782535552979,38.374406107986815,11432.575019702883,38.374406107986815,11470.94942581087,0.4093972444534302,0.44883176088333127,87107.0,87107.0,87107.0,87107.0,87107.0,87107.0,0.0,2902720,66.44,19072.440000000002,19072.440000000002,87105.0,2.0,2.0,14.9352
padded,32,128,4,2.9318151473999023,43.65895991550407,12724.540301623398,43.65895991550407,12768.199261538903,0.7439749240875244,0.7598333477973938,87419.0,87419.0,87419.0,87419.0,87419.0,87419.0,0.0,2902720,66.44,19384.440000000002,19384.440000000002,87105.0,314.0,314.0,14.9352
padded,64,256,4,5.222916603088379,49.014759272362085,14428.336832994773,49.014759272362085,14477.351592267136,1.3283580541610718,1.4031126260757445,87501.0,87501.0,87501.0,87501.0,87501.0,87501.0,0.0,2856032,65.37,20562.119999999995,20562.119999999995,87497.0,4.0,4.0,15.1227
padded,128,512,4,8.73228907585144,58.63296502813926,17532.172683492205,58.63296502813926,17590.80564852034,2.1676011085510254,2.440131819248199,89031.0,89031.0,89031.0,89031.0,89031.0,89031.0,0.0,2822768,64.61,22870.36,22870.36,88432.0,599.0,599.0,15.4978
padded,256,1024,4,15.11123275756836,67.76416037183574,20400.982828194345,67.76416037183574,20468.74698856618,3.6981048583984375,4.151448428630829,93001.0,93001.0,93001.0,93001.0,93001.0,93001.0,0.0,2756352,63.09,28396.839999999997,28396.839999999997,92997.0,4.0,4.0,16.2483
padded,512,2048,4,26.587495803833008,77.02869104749415,22966.171936808372,77.02869104749415,23043.200627855866,6.555933475494385,7.229636561870574,94593.0,94593.0,94593.0,94593.0,94593.0,94593.0,0.0,2539520,58.13,35067.88,35067.88,94589.0,4.0,4.0,17.7478
multi_kernel,8,32,4,1.480384349822998,21.6160080345527,6259.860826756246,21.6160080345527,6281.476834790798,0.36574387550354004,0.4081224918365478,86939.0,86793.0,85787.0,85815.0,86333.5,86939.0,1152.0,2633344,60.27,24617.019999999997,25222.519999999997,86329.5,4.0,4.0,21.0383
multi_kernel,16,64,4,2.0604114532470703,31.06175705786351,9253.97690347318,31.06175705786351,9285.038660531045,0.5105841159820557,0.5472127079963683,86939.0,86793.0,85787.0,85815.0,86333.5,86939.0,1152.0,2633344,60.27,24617.019999999997,25222.519999999997,86329.5,4.0,4.0,21.0383
multi_kernel,32,128,4,3.435589075088501,37.257075046643266,10858.6909507037,37.257075046643266,10895.948025750344,0.862402081489563,0.9032019853591918,87251.0,87105.0,86099.0,86127.0,86645.5,87251.0,1152.0,2633344,60.27,24929.019999999997,25534.519999999997,86329.5,316.0,316.0,21.0383
