strategy,batch_index,completed_samples,elapsed_seconds,batch_seconds,batch_requests_per_second,batch_total_tokens_per_second,cumulative_requests_per_second,cumulative_total_tokens_per_second,batch_input_tokens,batch_output_tokens,gpu_memory_mean_mib,gpu_memory_peak_max_mib,gpu_memory_peak_min_mib,gpu_memory_peak_imbalance_mib,gpu_utilization_mean_percent,gpu_power_mean_watts
padded,0,8,1.6619946956634521,1.6619946956634521,4.81349310011274,1127.5607587014094,4.81349310011274,1127.5607587014094,1858,16,29670.75,29671.0,29671.0,0.0,52.9375,153.1909375
padded,1,16,3.539766550064087,1.7641541957855225,4.534750998020245,1466.4251039847966,4.669966340322512,1302.0449902611704,2570,17,29671.0,29671.0,29671.0,0.0,58.25,162.658125
padded,2,24,5.057523965835571,1.3966195583343506,5.728116832003294,1850.8977513410643,4.976394834190777,1460.9865834045088,2569,16,29671.0,29671.0,29671.0,0.0,57.714285714285715,164.27964285714285
padded,3,32,6.745258092880249,1.5824172496795654,5.05555661859726,1444.625303764167,4.995951952288186,1456.9444880860424,2270,16,29671.0,29671.0,29671.0,0.0,52.8125,160.38124999999997
padded,4,40,8.012093782424927,1.1645431518554688,6.869646682695772,2101.2531790695693,5.284205126189364,1556.066304534613,2428,19,29671.0,29671.0,29671.0,0.0,57.208333333333336,163.2966666666667
padded,5,48,9.966913223266602,1.8352553844451904,4.35906635545355,1336.5987212409448,5.103676816115693,1513.2401759783031,2434,19,29671.0,29671.0,29671.0,0.0,53.138888888888886,158.91277777777782
padded,6,56,11.588245868682861,1.5021827220916748,5.3255838203628185,1404.6227326206933,5.134238818969338,1498.2809067785165,2091,19,29671.0,29671.0,29671.0,0.0,41.71875,158.75
padded,7,64,12.932644367218018,1.2366924285888672,6.468867937623288,1896.995522708029,5.270153248928566,1538.8847486871414,2325,21,29671.0,29671.0,29671.0,0.0,44.125,156.41166666666666
multi_kernel,0,8,1.886451005935669,1.886451005935669,4.240767438342267,993.3997724316761,4.240767438342267,993.3997724316761,1858,16,35709.222222222226,35969.0,35483.0,486.0,54.666666666666664,151.76333333333332
multi_kernel,1,16,4.084218740463257,2.0918021202087402,3.8244535287122106,1237.2107165384,4.0218657517920855,1121.597811531018,2570,18,35709.5,35969.0,35483.0,486.0,65.125,164.29249999999996
multi_kernel,2,24,5.8090660572052,1.6122663021087646,4.961959441524266,1607.0546141236719,4.29298212947971,1261.6001233008496,2569,22,35709.5,35969.0,35483.0,486.0,62.03125,158.768125
multi_kernel,3,32,7.718333721160889,1.820359706878662,4.394735814998595,1255.7957591358484,4.317976236894968,1260.1743773863159,2270,16,35709.5,35969.0,35483.0,486.0,56.47222222222222,160.66999999999996
multi_kernel,4,40,9.183760166168213,1.3597426414489746,5.883466294382742,1799.6052527943211,4.560680077073604,1343.8043847097374,2428,19,35709.5,35969.0,35483.0,486.0,61.92857142857143,161.93035714285716
multi_kernel,5,48,11.372159004211426,2.0883309841156006,3.8308103748161195,1174.6222311779927,4.420315757679163,1311.2682515332,2434,19,35709.5,35969.0,35483.0,486.0,59.65909090909091,159.67840909090904
multi_kernel,6,56,14.190388917922974,2.726337194442749,2.9343398961459584,776.132902530606,4.1221056145964585,1203.8756665486621,2091,25,35709.5,35969.0,35483.0,486.0,60.267857142857146,156.54339285714286
multi_kernel,7,64,15.899602174758911,1.6171674728393555,4.946921165780024,1450.684631864992,4.209845697855056,1230.1300686810532,2325,21,35709.5,35969.0,35483.0,486.0,54.8125,151.161875
cross_layer,0,8,1.7289142608642578,1.7289142608642578,4.627181452017709,1083.9172551351483,4.627181452017709,1083.9172551351483,1858,16,26260.6875,26527.0,25527.0,1000.0,49.71875,149.74781249999998
cross_layer,1,16,3.7326087951660156,1.891435146331787,4.229592548026321,1368.2731892865147,4.419462930345161,1232.4777247000068,2570,18,26261.0,26527.0,25527.0,1000.0,56.638888888888886,158.62861111111113
cross_layer,2,24,5.543315410614014,1.6996057033538818,4.7069740847617565,1520.9410011386426,4.511316261373323,1324.635237245742,2569,16,26261.0,26527.0,25527.0,1000.0,59.71875,158.95375
cross_layer,3,32,7.439905166625977,1.8168492317199707,4.4032272245433255,1258.2221794132554,4.483799536225233,1307.7281584871907,2270,16,26261.0,26527.0,25527.0,1000.0,56.861111111111114,158.03722222222217
cross_layer,4,40,8.60401177406311,1.0477313995361328,7.635544762275788,2335.5222541611065,4.887265602089417,1439.2997198153332,2428,19,26261.0,26527.0,25527.0,1000.0,57.958333333333336,158.97375000000002
cross_layer,5,48,10.714045286178589,1.9853525161743164,4.029511099326398,1235.5488408309568,4.7198158703793265,1399.5237350647699,2434,19,26261.0,26527.0,25527.0,1000.0,59.075,157.02175000000003
cross_layer,6,56,12.755290985107422,1.926574468612671,4.152447844780593,1098.8415109250643,4.629452532176112,1351.6348018049898,2091,26,26261.0,26527.0,25527.0,1000.0,53.5,156.56638888888887
cross_layer,7,64,14.011693000793457,1.1438987255096436,6.993626115315186,2050.880858316178,4.833704897824852,1412.046043277085,2325,21,26261.0,26527.0,25527.0,1000.0,44.541666666666664,151.2879166666667
