strategy,elapsed_seconds,gpu_index,memory_used_mib,memory_total_mib,gpu_utilization_percent,power_watts
padded,-126.15600395202637,0,0.0,97871.0,0.0,73.33
padded,-126.15200400352478,1,0.0,97871.0,0.0,74.56
padded,-126.1480040550232,2,0.0,97871.0,0.0,73.47
padded,-126.14500403404236,3,0.0,97871.0,0.0,74.23
padded,-125.94100403785706,0,0.0,97871.0,0.0,73.37
padded,-125.94100403785706,1,0.0,97871.0,0.0,74.59
padded,-125.94100403785706,2,0.0,97871.0,0.0,73.48
padded,-125.94100403785706,3,0.0,97871.0,0.0,74.15
padded,-125.74100399017334,0,0.0,97871.0,0.0,73.38
padded,-125.74100399017334,1,0.0,97871.0,0.0,74.59
padded,-125.74100399017334,2,0.0,97871.0,0.0,73.52
padded,-125.74100399017334,3,0.0,97871.0,0.0,74.19
padded,-125.54100394248962,0,0.0,97871.0,0.0,73.36
padded,-125.54100394248962,1,0.0,97871.0,0.0,74.61
padded,-125.54100394248962,2,0.0,97871.0,0.0,73.55
padded,-125.54000401496887,3,0.0,97871.0,0.0,74.19
padded,-125.34000396728516,0,0.0,97871.0,0.0,73.34
padded,-125.34000396728516,1,0.0,97871.0,0.0,74.62
padded,-125.34000396728516,2,0.0,97871.0,0.0,73.56
padded,-125.34000396728516,3,0.0,97871.0,0.0,74.21
padded,-125.14000415802002,0,0.0,97871.0,0.0,73.36
padded,-125.14000415802002,1,0.0,97871.0,0.0,74.61
padded,-125.14000415802002,2,0.0,97871.0,0.0,73.56
padded,-125.14000415802002,3,0.0,97871.0,0.0,74.13
padded,-124.9400041103363,0,0.0,97871.0,0.0,73.34
padded,-124.9400041103363,1,0.0,97871.0,0.0,74.61
padded,-124.9400041103363,2,0.0,97871.0,0.0,73.53
padded,-124.9400041103363,3,0.0,97871.0,0.0,74.17
padded,-124.73900413513184,0,0.0,97871.0,0.0,73.34
padded,-124.73900413513184,1,0.0,97871.0,0.0,74.59
padded,-124.73900413513184,2,0.0,97871.0,0.0,73.51
padded,-124.73900413513184,3,0.0,97871.0,0.0,74.18
padded,-124.53900408744812,0,0.0,97871.0,0.0,73.37
padded,-124.53900408744812,1,0.0,97871.0,0.0,74.55
padded,-124.53900408744812,2,0.0,97871.0,0.0,73.5
padded,-124.53900408744812,3,0.0,97871.0,0.0,74.18
padded,-124.3390040397644,0,0.0,97871.0,0.0,73.41
padded,-124.3390040397644,1,0.0,97871.0,0.0,74.56
padded,-124.3390040397644,2,0.0,97871.0,0.0,73.5
padded,-124.3390040397644,3,0.0,97871.0,0.0,74.15
