method,layers,n_instances,median_spread_phi,median_gap_phi,median_spread_mib,median_gap_mib,tau0_median_mib,phibar_median_gib
sort_only,4,24,10048.0,9920.0,117.75,116.25,1.5,0.68353271484375
sort_only,8,12,8320.0,8192.0,97.5,96.0,1.5,1.35443115234375
sort_only,12,8,12864.0,12736.0,150.75,149.25,1.5,2.03466796875
sort_only,16,6,12288.0,12160.0,144.0,142.5,1.5,2.68487548828125
sort_only,24,4,10688.0,10560.0,125.25,123.75,1.5,4.06256103515625
sort_only,32,2,12032.0,11968.0,141.0,140.25,0.75,5.3492431640625
sort_only,48,2,8128.0,8064.0,95.25,94.5,0.75,8.10003662109375
greedy_pairwise_swap,4,24,4096.0,3968.0,48.0,46.5,1.5,0.68353271484375
greedy_pairwise_swap,8,12,3200.0,3072.0,37.5,36.0,1.5,1.35443115234375
greedy_pairwise_swap,12,8,1088.0,960.0,12.75,11.25,1.5,2.03466796875
greedy_pairwise_swap,16,6,1344.0,1216.0,15.75,14.25,1.5,2.68487548828125
greedy_pairwise_swap,24,4,1664.0,1536.0,19.5,18.0,1.5,4.06256103515625
greedy_pairwise_swap,32,2,1024.0,960.0,12.0,11.25,0.75,5.3492431640625
greedy_pairwise_swap,48,2,256.0,192.0,3.0,2.25,0.75,8.10003662109375
greedy_full_bijection,4,24,4736.0,4608.0,55.5,54.0,1.5,0.68353271484375
greedy_full_bijection,8,12,2880.0,2752.0,33.75,32.25,1.5,1.35443115234375
greedy_full_bijection,12,8,1216.0,1088.0,14.25,12.75,1.5,2.03466796875
greedy_full_bijection,16,6,1344.0,1216.0,15.75,14.25,1.5,2.68487548828125
greedy_full_bijection,24,4,640.0,512.0,7.5,6.0,1.5,4.06256103515625
greedy_full_bijection,32,2,512.0,448.0,6.0,5.25,0.75,5.3492431640625
greedy_full_bijection,48,2,256.0,192.0,3.0,2.25,0.75,8.10003662109375
simulated_annealing,4,24,3200.0,3136.0,37.5,36.75,1.5,0.68353271484375
simulated_annealing,8,12,2240.0,2112.0,26.25,24.75,1.5,1.35443115234375
simulated_annealing,12,8,1472.0,1344.0,17.25,15.75,1.5,2.03466796875
simulated_annealing,16,6,1408.0,1280.0,16.5,15.0,1.5,2.68487548828125
simulated_annealing,24,4,1024.0,896.0,12.0,10.5,1.5,4.06256103515625
simulated_annealing,32,2,640.0,576.0,7.5,6.75,0.75,5.3492431640625
simulated_annealing,48,2,2240.0,2176.0,26.25,25.5,0.75,8.10003662109375
tabu_search,4,24,2624.0,2496.0,30.75,29.25,1.5,0.68353271484375
tabu_search,8,12,1280.0,1152.0,15.0,13.5,1.5,1.35443115234375
tabu_search,12,8,384.0,256.0,4.5,3.0,1.5,2.03466796875
tabu_search,16,6,512.0,384.0,6.0,4.5,1.5,2.68487548828125
tabu_search,24,4,512.0,384.0,6.0,4.5,1.5,4.06256103515625
tabu_search,32,2,256.0,192.0,3.0,2.25,0.75,5.3492431640625
tabu_search,48,2,320.0,256.0,3.75,3.0,0.75,8.10003662109375
beam_search,4,24,3584.0,3456.0,42.0,40.5,1.5,0.68353271484375
beam_search,8,12,1472.0,1408.0,17.25,16.5,1.5,1.35443115234375
beam_search,12,8,832.0,704.0,9.75,8.25,1.5,2.03466796875
beam_search,16,6,640.0,512.0,7.5,6.0,1.5,2.68487548828125
beam_search,24,4,384.0,256.0,4.5,3.0,1.5,4.06256103515625
beam_search,32,2,192.0,128.0,2.25,1.5,0.75,5.3492431640625
beam_search,48,2,256.0,192.0,3.0,2.25,0.75,8.10003662109375
milp_assignment,4,24,2368.0,2240.0,27.75,26.25,1.5,0.68353271484375
milp_assignment,8,12,128.0,0.0,1.5,0.0,1.5,1.35443115234375
milp_assignment,12,8,128.0,0.0,1.5,0.0,1.5,2.03466796875
milp_assignment,16,6,128.0,0.0,1.5,0.0,1.5,2.68487548828125
milp_assignment,24,4,128.0,0.0,1.5,0.0,1.5,4.06256103515625
milp_assignment,32,2,64.0,0.0,0.75,0.0,0.75,5.3492431640625
milp_assignment,48,2,64.0,0.0,0.75,0.0,0.75,8.10003662109375
