case_id,prune_ratio,layers,m,num_experts_per_layer,arithmetic_quantum,arithmetic_spread_lower_bound,spread,attempts,retries,elapsed_seconds,optimality_proven,stopped_reason,source_kind
grid-p30-l04-m04,0.3,4,4,128,128,128,1152.0,9,8,0.018522831000154838,True,feasible,reused
grid-p30-l04-m06,0.3,4,6,128,128,128,256.0,2,1,0.4356742130185012,True,feasible,computed
grid-p30-l04-m08,0.3,4,8,128,128,128,640.0,5,4,7.173330288002035,True,feasible,computed
grid-p30-l04-m12,0.3,4,12,128,128,128,,4,3,300.0104984870122,False,budget_or_unproven,computed
grid-p30-l04-m16,0.3,4,16,128,128,128,256.0,2,1,17.446571164007764,True,feasible,computed
grid-p30-l04-m24,0.3,4,24,128,128,128,512.0,4,3,285.33822937498917,True,feasible,computed
grid-p30-l04-m32,0.3,4,32,128,128,128,128.0,1,0,149.91408695298014,True,feasible,computed
grid-p30-l04-m48,0.3,4,48,128,128,128,,3,2,300.0571582200064,False,budget_or_unproven,computed
grid-p30-l04-m64,0.3,4,64,128,128,128,,2,1,300.1020585920196,False,budget_or_unproven,computed
grid-p30-l08-m04,0.3,8,4,128,128,0,0.0,1,0,0.3438101419887971,True,feasible,reused
grid-p30-l08-m06,0.3,8,6,128,128,128,128.0,1,0,1.9894560599932447,True,feasible,computed
grid-p30-l08-m08,0.3,8,8,128,128,128,128.0,1,0,3.8247386300063226,True,feasible,computed
grid-p30-l08-m12,0.3,8,12,128,128,128,128.0,1,0,3.1602436889952514,True,feasible,computed
grid-p30-l08-m16,0.3,8,16,128,128,128,128.0,1,0,4.663093051000033,True,feasible,computed
grid-p30-l08-m24,0.3,8,24,128,128,128,,1,0,300.0447607259848,False,budget_or_unproven,computed
grid-p30-l08-m32,0.3,8,32,128,128,128,,1,0,300.06366400499246,False,budget_or_unproven,computed
grid-p30-l08-m48,0.3,8,48,128,128,128,,2,1,300.10884711999097,False,budget_or_unproven,computed
grid-p30-l08-m64,0.3,8,64,128,128,128,,1,0,315.3698409629869,False,budget_or_unproven,computed
grid-p30-l12-m04,0.3,12,4,128,128,128,128.0,1,0,0.5801664360042196,True,feasible,reused
grid-p30-l12-m06,0.3,12,6,128,128,128,128.0,1,0,4.730980513995746,True,feasible,computed
