layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,5,low,1.0,0.0,3.9864081233569026e-08,3.9864081232647824e-08,-7.972808546696797e-08
0,5,low,1.0,0.25,2.2423550607202e-08,2.2423550606280794e-08,-5.979609873918434e-08
0,5,low,1.0,0.5,9.966032360475747e-09,9.966032359554544e-09,-3.986410490597336e-08
0,5,low,1.0,0.75,2.4915090059706764e-09,2.4915090050494735e-09,-1.9932066663841397e-08
0,5,low,1.0,0.9,3.986422639576562e-10,3.986422630364534e-10,-7.97283705722407e-09
0,5,low,1.0,0.95,9.966050120609305e-11,9.966050028489026e-11,-3.98641741838901e-09
0,5,low,1.0,1.0,9.212028045060322e-19,0.0,-3.331310693372209e-23
0,5,low,1.0,1.05,9.965994267352763e-11,9.96599417523248e-11,3.9864072043371834e-09
0,5,low,1.0,1.25,2.4915119371935505e-09,2.491511936272348e-09,1.9932098638264506e-08
0,5,low,1.0,1.5,9.966052125291383e-09,9.96605212437018e-09,3.986422925095212e-08
0,5,low,0.95,0.0,8.618706490374266e-08,4.103214225719379e-08,-8.106252025186222e-08
0,5,low,0.95,0.25,6.841293008620321e-08,2.3258007439654348e-08,-6.113054418221964e-08
0,5,low,0.95,0.5,5.562179339199019e-08,1.0466870745441323e-08,-4.11985432435813e-08
0,5,low,0.95,0.75,4.78136631362394e-08,2.658740489690533e-09,-2.1266520100482467e-08
0,5,low,0.95,0.9,4.5520627188892594e-08,3.657045423437311e-10,-9.307284276616201e-09
0,5,low,0.95,0.95,4.515492264654887e-08,0.0,-5.320863971647327e-09
0,5,low,0.95,1.0,4.498853972067806e-08,-1.663829258708058e-10,-1.3344527149961039e-09
0,5,low,0.95,1.05,4.502147782369591e-08,-1.3344482285295366e-10,2.6519622053911007e-09
0,5,low,0.95,1.25,4.714643826106526e-08,1.9915156145163944e-09,1.8597639872552918e-08
0,5,low,0.95,1.5,5.428736441767168e-08,9.132441771122814e-09,3.8529767820705274e-08
0,13,counterexample,1.0,0.0,1.8799617258859414e-07,1.8799617258767294e-07,-3.7591603074815794e-07
0,13,counterexample,1.0,0.25,1.0575859292948974e-07,1.0575859292856854e-07,-2.819798794462258e-07
0,13,counterexample,1.0,0.5,4.700860602770946e-08,4.700860602678826e-08,-1.8801524959144444e-07
0,13,counterexample,1.0,0.75,1.1753351231126549e-08,1.1753351230205346e-08,-9.4022006180694e-08
0,13,counterexample,1.0,0.9,1.88065216274633e-09,1.8806521618251275e-09,-3.761226707865717e-08
0,13,counterexample,1.0,0.95,4.701725180471861e-10,4.701725171259834e-10,-1.880670730258771e-08
0,13,counterexample,1.0,1.0,9.212028045060322e-19,0.0,-9.948056663034405e-24
0,13,counterexample,1.0,1.05,4.701908330562806e-10,4.701908321350777e-10,1.8807845059143347e-08
0,13,counterexample,1.0,1.25,1.1755757074766513e-08,1.175575707384531e-08,9.405089684833001e-08
0,13,counterexample,1.0,1.5,4.702787174636824e-08,4.702787174544704e-08,1.881308548945526e-07
0,13,counterexample,0.95,0.0,2.375337997721197e-07,1.9237887712557084e-07,-3.8101023847048054e-07
0,13,counterexample,0.95,0.25,1.5402174985565335e-07,1.0886682720910448e-07,-2.870814483912909e-07
0,13,counterexample,0.95,0.5,9.399543928160777e-08,4.8840516635058914e-08,-1.9312424370809822e-07
0,13,counterexample,0.95,0.75,5.746200026463961e-08,1.2307077618090745e-08,-9.91384894177827e-08
0,13,counterexample,0.95,0.9,4.682149073367806e-08,1.6665680871291894e-09,-4.273327647297265e-08
0,13,counterexample,0.95,0.95,4.515492264654887e-08,0.0,-2.392922127114616e-08
0,13,counterexample,0.95,1.0,4.4428586363431147e-08,-7.263362831177159e-10,-5.124021873470497e-09
0,13,counterexample,0.95,1.05,4.464253913382178e-08,-5.123835127270833e-10,1.3682312172136335e-08
0,13,counterexample,0.95,1.25,5.490239436954382e-08,9.747471722994954e-09,8.891930036725171e-08
0,13,counterexample,0.95,1.5,8.889064999235483e-08,4.3735727345805956e-08,1.8299159876278281e-07
0,19,counterexample,1.0,0.0,1.854147713286841e-07,1.854147713277629e-07,-3.7083519544012233e-07
0,19,counterexample,1.0,0.25,1.0429500640777692e-07,1.0429500640685572e-07,-2.7812319558506715e-07
0,19,counterexample,1.0,0.5,4.635298391193548e-08,4.635298391101428e-08,-1.8541334867450132e-07
0,19,counterexample,1.0,0.75,1.1588158959208252e-08,1.1588158958287049e-08,-9.270561562857438e-08
0,19,counterexample,1.0,0.9,1.8540978990076672e-09,1.8540978980864643e-09,-3.708200324581412e-08
0,19,counterexample,1.0,0.95,4.635237585324064e-10,4.635237576112036e-10,-1.8540958102164495e-08
0,19,counterexample,1.0,1.0,9.212028045060322e-19,0.0,-2.5538581367903226e-23
