baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,13,57,1.8799617258767294e-07,1.0492276568045554e-07,8.30734069072174e-08,2.273276020758885e-08,2.2827513834755563e-08,1.8807284618560516e-07,1.0467472577602166e-07,0.0004078465900493794,0.0023640236971001296
first_order_signed,13,57,1.8799617258767294e-07,1.0492276568045554e-07,8.30734069072174e-08,2.273276020758885e-08,2.2827513834755563e-08,1.8807284618560516e-07,1.0467472577602166e-07,0.0004078465900493794,0.0023640236971001296
first_order_abs,13,98,1.8799617258767294e-07,1.0692258987152722e-07,8.107358271614572e-08,2.273276020758885e-08,2.6404627373466383e-08,1.8807284618560516e-07,1.0676933470676886e-07,0.0004078465900493794,0.0014333282138274752
first_order_signed,13,98,1.8799617258767294e-07,1.0692258987152722e-07,8.107358271614572e-08,2.273276020758885e-08,2.6404627373466383e-08,1.8807284618560516e-07,1.0676933470676886e-07,0.0004078465900493794,0.0014333282138274752
first_order_abs,19,57,1.854147713277629e-07,1.0492276568045554e-07,8.049200564730736e-08,2.1798215454893466e-08,2.2827513834755563e-08,1.8540910673436883e-07,1.0467472577602166e-07,3.0550928351109904e-05,0.0023640236971001296
first_order_signed,19,57,1.854147713277629e-07,1.0492276568045554e-07,8.049200564730736e-08,2.1798215454893466e-08,2.2827513834755563e-08,1.8540910673436883e-07,1.0467472577602166e-07,3.0550928351109904e-05,0.0023640236971001296
first_order_abs,19,98,1.854147713277629e-07,1.0692258987152722e-07,7.849218145623568e-08,2.1798215454893466e-08,2.6404627373466383e-08,1.8540910673436883e-07,1.0676933470676886e-07,3.0550928351109904e-05,0.0014333282138274752
first_order_signed,19,98,1.854147713277629e-07,1.0692258987152722e-07,7.849218145623568e-08,2.1798215454893466e-08,2.6404627373466383e-08,1.8540910673436883e-07,1.0676933470676886e-07,3.0550928351109904e-05,0.0014333282138274752
first_order_abs,125,114,4.1059475948358125e-07,3.323825035544902e-07,7.821225592909105e-08,5.598136905149431e-08,6.046135645476624e-08,4.105474999960279e-07,3.305815141629864e-07,0.00011510007485916863,0.005418424171681857
first_order_signed,125,114,4.1059475948358125e-07,3.323825035544902e-07,7.821225592909105e-08,5.598136905149431e-08,6.046135645476624e-08,4.105474999960279e-07,3.305815141629864e-07,0.00011510007485916863,0.005418424171681857
