layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,0,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-1.692103722913721e-23,-4.557257238246848e-09,4.329394376334505e-09,4.329394376334505e-09,3.946882998207002e-08,3.907872780928301e-08,3.946906734021471e-08,3.9469067341135914e-08,3.9950308791318696e-08,8.510523143786757e-08
0,1,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.984786185813965e-23,-2.5318840357613226e-08,2.4052898339732565e-08,2.4052898339732565e-08,1.4977132423155126e-07,1.5012797405233869e-07,1.4977038176988643e-07,1.4977038177080763e-07,1.5923461537523185e-07,2.0438953802178072e-07
0,2,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-6.659857218132524e-23,-2.097758766694824e-08,1.9928708283600827e-08,1.9928708283600827e-08,1.0701042896243962e-07,1.0684268403338137e-07,1.0729894294663803e-07,1.0729894294755923e-07,1.1689071167195653e-07,1.620456343185054e-07
0,3,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-2.7849205446393503e-23,-1.3323169234524812e-08,1.2657010772798571e-08,1.2657010772798571e-08,8.572295229214433e-08,9.100257614136353e-08,8.571599272853237e-08,8.571599272945357e-08,9.001552142190315e-08,1.3517044406845202e-07
0,4,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.98869625323666e-23,-1.15001106415491e-08,1.0925105109471644e-08,1.0925105109471644e-08,8.94635334702798e-08,8.978207688414841e-08,8.944808191514077e-08,8.944808191606197e-08,9.164934664726315e-08,1.3680426929381202e-07
0,5,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.331310693372209e-23,-5.320863971647327e-09,5.054820773064961e-09,5.054820773064961e-09,3.9864161749392224e-08,3.933502057407168e-08,3.9864081232647824e-08,3.9864081233569026e-08,4.103214225719379e-08,8.618706490374266e-08
0,6,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.5966472142869174e-23,-3.453333285996507e-09,3.2806666216966817e-09,3.2806666216966817e-09,2.2108423536337796e-08,2.259486642230968e-08,2.2108863036453564e-08,2.2108863037374765e-08,2.3234594802258325e-08,6.83895174488072e-08
0,7,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.366825210965177e-23,-1.8655202715933683e-08,1.7722442580136998e-08,1.7722442580136998e-08,1.2450220765458653e-07,1.2515849334704399e-07,1.2456171764452725e-07,1.2456171764544846e-07,1.3016294727288902e-07,1.753178699194379e-07
0,8,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-5.276997304143298e-23,-1.0667188909962988e-08,1.0133829464464839e-08,1.0133829464464839e-08,7.908275279078225e-08,7.876775498516508e-08,7.907671690233087e-08,7.907671690325208e-08,8.149731119213931e-08,1.2665223383868818e-07
0,9,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,3.161930976310313e-23,-9.536290090927935e-10,9.059475586381538e-10,9.059475586381538e-10,7.572410254397255e-09,7.841196136837425e-09,7.572599121581374e-09,7.572599122502577e-09,7.740257551870193e-09,5.289518019841906e-08
0,10,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-9.252169957469655e-23,-5.42854672325177e-09,5.157119387089182e-09,5.157119387089182e-09,4.1309206721962255e-08,4.216901317022348e-08,4.1312248773767634e-08,4.1312248774688835e-08,4.244448525258086e-08,8.759940789912973e-08
0,11,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,1.982556470645399e-23,-3.2761477974929676e-09,3.112340407618319e-09,3.112340407618319e-09,2.319486824831074e-08,2.3646247626629702e-08,2.3197429317024262e-08,2.3197429317945464e-08,2.4049115791548963e-08,6.920403843809784e-08
0,12,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.8691689958707406e-23,-8.35221625195004e-09,7.934605439352538e-09,7.934605439352538e-09,5.220657683935315e-08,5.324563545627825e-08,5.220599517843521e-08,5.2205995179356414e-08,5.5051723679822784e-08,1.0020664632637165e-07
0,13,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-9.948056663034405e-24,-2.392922127114616e-08,2.273276020758885e-08,2.273276020758885e-08,1.8807284618560516e-07,1.8750306196579913e-07,1.8799617258767294e-07,1.8799617258859414e-07,1.9237887712557084e-07,2.375337997721197e-07
0,14,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-3.031274390047363e-23,-1.3812800681023418e-08,1.3122160646972247e-08,1.3122160646972247e-08,8.30201329904412e-08,8.558575359529641e-08,8.302144346340842e-08,8.302144346432962e-08,8.80509153772638e-08,1.3320583802381267e-07
0,15,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,-9.458335362947274e-24,-1.6970943539362793e-09,1.6122396362394651e-09,1.6122396362394651e-09,1.2202319155107944e-08,1.1497695240336725e-08,1.2202339939495123e-08,1.2202339940416326e-08,1.2624881953945387e-08,5.7779804600494256e-08
0,16,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,2.034814293099057e-22,-6.52867626627085e-08,6.202242452957307e-08,6.202242452957307e-08,3.5923275731875037e-07,3.615213870489242e-07,3.6133281701343815e-07,3.6133281701435935e-07,3.888891810077058e-07,4.340441036542547e-07
0,17,kl_div,0.95,4096,2,9.212028045060322e-19,4.515492264654887e-08,7.644409585934264e-23,-1.4660416880474259e-08,1.3927396036450544e-08,1.3927396036450544e-08,7.987748062987521e-08,7.9506548900099e-08,7.989469686865492e-08,7.989469686957612e-08,8.604081266189254e-08,1.311957353084414e-07
