layer,expert,selection_group,background_beta,beta,measured_loss,measured_delta_loss,local_gradient_at_beta
0,5,low,1.0,0.0,8.195346246644651e-08,8.195346246644651e-08,-1.639069253656089e-07
0,5,low,1.0,0.25,4.60988250857904e-08,4.60988250857904e-08,-1.2293018869513617e-07
0,5,low,1.0,0.5,2.0488370824845707e-08,2.0488370824845707e-08,-8.195346978823181e-08
0,5,low,1.0,0.75,5.122095620290088e-09,5.122095620290088e-09,-4.097674732861378e-08
0,5,low,1.0,0.9,8.195364415347818e-10,8.195364415347818e-10,-1.639071056658281e-08
0,5,low,1.0,0.95,2.048830218055443e-10,2.048830218055443e-10,-8.195332856786308e-09
0,5,low,1.0,1.0,0.0,0.0,0.0
0,5,low,1.0,1.05,2.048827756731225e-10,2.048827756731225e-10,8.19532752771579e-09
0,5,low,1.0,1.25,5.122088471286074e-09,5.122088471286074e-09,4.097671890690435e-08
0,5,low,1.0,1.5,2.0488355268350442e-08,2.0488355268350442e-08,8.195344136652238e-08
0,5,low,0.95,0.0,1.9828606934266664e-07,8.682435250505731e-08,-1.6924985146715699e-07
0,5,low,0.95,0.25,1.6109569340906882e-07,4.96339765714595e-08,-1.2827311124397056e-07
0,5,low,0.95,0.5,1.3414951180167083e-07,2.2687794964061526e-08,-8.729639233706621e-08
0,5,low,0.95,0.75,1.1744751696469787e-07,5.9858001270885394e-09,-4.631968408830289e-08
0,5,low,0.95,0.9,1.1234350454303779e-07,8.817877054284631e-10,-2.173362112500854e-08
0,5,low,0.95,0.95,1.1146171683760932e-07,0.0,-1.3538301590898527e-08
0,5,low,0.95,1.0,1.1098967749219034e-07,-4.720393454189788e-10,-5.342926989726493e-09
0,5,low,0.95,1.05,1.1092741634949991e-07,-5.343004881094059e-10,2.8524095307957964e-09
0,5,low,0.95,1.25,1.1477604067376196e-07,3.3143238361526497e-09,3.563379102899944e-08
0,5,low,0.95,1.5,1.2880657507364614e-07,1.7344858236036823e-08,7.661053658125638e-08
0,13,counterexample,1.0,0.0,4.049963130729224e-07,4.049963130729224e-07,-8.099926560589665e-07
0,13,counterexample,1.0,0.25,2.27810393624363e-07,2.27810393624363e-07,-6.074944565170881e-07
0,13,counterexample,1.0,0.5,1.0124906097992248e-07,1.0124906097992248e-07,-4.049962853969191e-07
0,13,counterexample,1.0,0.75,2.5312261001180263e-08,2.5312261001180263e-08,-2.024981213821775e-07
0,13,counterexample,1.0,0.9,4.049965180769321e-09,4.049965180769321e-09,-8.09992783956659e-08
0,13,counterexample,1.0,0.95,1.0124886806671317e-09,1.0124886806671317e-09,-4.0499591236198285e-08
0,13,counterexample,1.0,1.0,0.0,0.0,0.0
0,13,counterexample,1.0,1.05,1.0124907675896402e-09,1.0124907675896402e-09,4.049963209240559e-08
0,13,counterexample,1.0,1.25,2.531227443712713e-08,2.531227443712713e-08,2.0249817822559635e-07
0,13,counterexample,1.0,1.5,1.0124909052727842e-07,1.0124909052727842e-07,4.0499632802948327e-07
0,13,counterexample,0.95,0.0,5.363683155839195e-07,4.249065987463102e-07,-8.320166102748772e-07
0,13,counterexample,0.95,0.25,3.5367642968805444e-07,2.4221471285044516e-07,-6.295184391547082e-07
0,13,counterexample,0.95,0.5,2.2160911860939175e-07,1.1014740177178243e-07,-4.2702033908881276e-07
0,13,counterexample,0.95,0.75,1.4016631487773094e-07,2.8704598040121624e-08,-2.2452221770663527e-07
0,13,counterexample,0.95,0.9,1.1560039803583263e-07,4.138681198223308e-09,-1.0302331787670482e-07
0,13,counterexample,0.95,0.95,1.1146171683760932e-07,0.0,-6.252365380987612e-08
0,13,counterexample,0.95,1.0,1.0934802370697042e-07,-2.1136931306389036e-09,-2.2023988854869003e-08
0,13,counterexample,0.95,1.05,1.0925931102615412e-07,-2.2024058114552032e-09,1.8475583729582468e-08
