baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low
first_order_abs,19,98,4.230079629291528e-07,2.478818965778365e-07,1.7512606635131626e-07,6.438303845612836e-08,7.257282046424507e-08,4.2300797531424905e-07,2.4788189989521925e-07,2.9278636226085022e-08,1.338291651234561e-08
first_order_signed,19,98,4.230079629291528e-07,2.478818965778365e-07,1.7512606635131626e-07,6.438303845612836e-08,7.257282046424507e-08,4.2300797531424905e-07,2.4788189989521925e-07,2.9278636226085022e-08,1.338291651234561e-08
first_order_abs,60,98,4.179945675902392e-07,2.478818965778365e-07,1.7011267101240266e-07,7.147261928963643e-08,7.257282046424507e-08,4.1799464156611066e-07,2.4788189989521925e-07,1.7697806912327982e-07,1.338291651234561e-08
first_order_signed,60,98,4.179945675902392e-07,2.478818965778365e-07,1.7011267101240266e-07,7.147261928963643e-08,7.257282046424507e-08,4.1799464156611066e-07,2.4788189989521925e-07,1.7697806912327982e-07,1.338291651234561e-08
first_order_abs,13,57,4.049963130729224e-07,2.3652235047802466e-07,1.6847396259489773e-07,5.939747111938231e-08,5.993303862084076e-08,4.0499631381862855e-07,2.3652235370263952e-07,1.84126652616885e-09,1.3633446696937914e-08
first_order_signed,13,57,4.049963130729224e-07,2.3652235047802466e-07,1.6847396259489773e-07,5.939747111938231e-08,5.993303862084076e-08,4.0499631381862855e-07,2.3652235370263952e-07,1.84126652616885e-09,1.3633446696937914e-08
first_order_abs,13,98,4.049963130729224e-07,2.478818965778365e-07,1.5711441649508587e-07,5.939747111938231e-08,7.257282046424507e-08,4.0499631381862855e-07,2.4788189989521925e-07,1.84126652616885e-09,1.338291651234561e-08
first_order_signed,13,98,4.049963130729224e-07,2.478818965778365e-07,1.5711441649508587e-07,5.939747111938231e-08,7.257282046424507e-08,4.0499631381862855e-07,2.4788189989521925e-07,1.84126652616885e-09,1.338291651234561e-08
first_order_abs,102,84,5.602067585016799e-07,4.2359897962049977e-07,1.3660777888118017e-07,8.517149385767198e-08,8.906158850408018e-08,5.602066721621668e-07,4.2359897634014487e-07,1.5412079884755924e-07,7.744010375641e-09
first_order_signed,102,84,5.602067585016799e-07,4.2359897962049977e-07,1.3660777888118017e-07,8.517149385767198e-08,8.906158850408018e-08,5.602066721621668e-07,4.2359897634014487e-07,1.5412079884755924e-07,7.744010375641e-09
first_order_abs,64,98,3.733916333558752e-07,2.478818965778365e-07,1.2550973677803868e-07,6.85543749767703e-08,7.257282046424507e-08,3.7339162872740417e-07,2.4788189989521925e-07,1.2395754551547909e-08,1.338291651234561e-08
first_order_signed,64,98,3.733916333558752e-07,2.478818965778365e-07,1.2550973677803868e-07,6.85543749767703e-08,7.257282046424507e-08,3.7339162872740417e-07,2.4788189989521925e-07,1.2395754551547909e-08,1.338291651234561e-08
first_order_abs,82,84,5.469287695676489e-07,4.2359897962049977e-07,1.2332978994714918e-07,7.393014520573615e-08,8.906158850408018e-08,5.469287884807272e-07,4.2359897634014487e-07,3.458051457775735e-08,7.744010375641e-09
first_order_signed,82,84,5.469287695676489e-07,4.2359897962049977e-07,1.2332978994714918e-07,7.393014520573615e-08,8.906158850408018e-08,5.469287884807272e-07,4.2359897634014487e-07,3.458051457775735e-08,7.744010375641e-09
first_order_abs,124,57,3.578021449615475e-07,2.3652235047802466e-07,1.2127979448352283e-07,5.0553060670921465e-08,5.993303862084076e-08,3.57802150574571e-07,2.3652235370263952e-07,1.5687506544418293e-08,1.3633446696937914e-08
first_order_signed,124,57,3.578021449615475e-07,2.3652235047802466e-07,1.2127979448352283e-07,5.0553060670921465e-08,5.993303862084076e-08,3.57802150574571e-07,2.3652235370263952e-07,1.5687506544418293e-08,1.3633446696937914e-08
first_order_abs,82,120,5.469287695676489e-07,4.314400147657484e-07,1.1548875480190056e-07,7.393014520573615e-08,7.613629531277865e-08,5.469287884807272e-07,4.3143995753780473e-07,3.458051457775735e-08,1.3264403322924983e-07
first_order_signed,82,120,5.469287695676489e-07,4.314400147657484e-07,1.1548875480190056e-07,7.393014520573615e-08,7.613629531277865e-08,5.469287884807272e-07,4.3143995753780473e-07,3.458051457775735e-08,1.3264403322924983e-07
first_order_abs,124,98,3.578021449615475e-07,2.478818965778365e-07,1.0992024838371097e-07,5.0553060670921465e-08,7.257282046424507e-08,3.57802150574571e-07,2.4788189989521925e-07,1.5687506544418293e-08,1.338291651234561e-08
first_order_signed,124,98,3.578021449615475e-07,2.478818965778365e-07,1.0992024838371097e-07,5.0553060670921465e-08,7.257282046424507e-08,3.57802150574571e-07,2.4788189989521925e-07,1.5687506544418293e-08,1.338291651234561e-08
first_order_abs,65,110,2.957019339184524e-07,1.8698696004591304e-07,1.0871497387253935e-07,4.870519196842337e-08,4.9258698009424506e-08,2.957019091809343e-07,1.869869379333977e-07,8.365693707888585e-08,1.1825699142521454e-07
first_order_signed,65,110,2.957019339184524e-07,1.8698696004591304e-07,1.0871497387253935e-07,4.870519196842337e-08,4.9258698009424506e-08,2.957019091809343e-07,1.869869379333977e-07,8.365693707888585e-08,1.1825699142521454e-07
first_order_abs,1,98,3.559007473179022e-07,2.478818965778365e-07,1.080188507400657e-07,7.072924823603444e-08,7.257282046424507e-08,3.5590073821367696e-07,2.4788189989521925e-07,2.5580798396450023e-08,1.338291651234561e-08
first_order_signed,1,98,3.559007473179022e-07,2.478818965778365e-07,1.080188507400657e-07,7.072924823603444e-08,7.257282046424507e-08,3.5590073821367696e-07,2.4788189989521925e-07,2.5580798396450023e-08,1.338291651234561e-08
