baseline,expert_high,expert_low,truth_high,truth_low,truth_gap,first_high,first_low,hessian_high,hessian_low,hessian_relative_error_high,hessian_relative_error_low,truth_increase_percent,first_decrease_percent,balanced_display_score,both_differences_at_least_20_percent,both_full_curves_available
first_order_abs,89,53,1.5566180091105214e-07,9.752400249585814e-08,5.8137798415194e-08,1.697718992055286e-08,2.5503542300242542e-08,1.5566179456527607e-07,9.752397289730652e-08,4.076643106433669e-08,3.035001729349403e-07,59.61383549415245,33.43203183037281,0.3343203183037281,True,False
first_order_abs,89,49,1.5566180091105214e-07,1.1626997167262457e-07,3.9391829238427573e-08,1.697718992055286e-08,2.5099755562862924e-08,1.5566179456527607e-07,1.1627000873204452e-07,4.076643106433669e-08,3.187359505840401e-07,33.87962400931956,32.3611344419945,0.323611344419945,True,False
first_order_abs,92,103,8.498259991944167e-08,6.467719250289398e-08,2.0305407416547685e-08,9.588055727149935e-09,1.6147219428219726e-08,8.498260228861909e-08,6.467718094427255e-08,2.787838248032384e-08,1.7871247938348766e-07,31.395004375984815,40.62101051037092,0.31395004375984814,True,False
first_order_abs,109,103,9.983759457675815e-08,6.467719250289398e-08,3.5160402073864166e-08,1.1132776189803905e-08,1.6147219428219726e-08,9.983759241549706e-08,6.467718094427255e-08,2.1647768060678226e-08,1.7871247938348766e-07,54.3629070978783,31.05453084790758,0.3105453084790758,True,False
first_order_abs,4,100,1.7896841646260672e-07,1.3696808983206857e-07,4.200032663053815e-08,2.06474083608299e-08,3.000378017148364e-08,1.7896843473863555e-07,1.3696808309759945e-07,1.0211873800997768e-07,4.916816119571488e-08,30.66431508392442,31.183976676199876,0.3066431508392442,True,False
first_order_abs,124,98,3.578021449615475e-07,2.478818965778365e-07,1.0992024838371097e-07,5.0553060670921465e-08,7.257282046424507e-08,3.57802150574571e-07,2.4788189989521925e-07,1.5687506544418293e-08,1.338291651234561e-08,44.34379835769706,30.34160675093539,0.3034160675093539,True,False
first_order_abs,74,103,9.920240460487054e-08,6.467719250289398e-08,3.452521210197656e-08,1.141809853333342e-08,1.6147219428219726e-08,9.920240984229167e-08,6.467718094427255e-08,5.2795304213162394e-08,1.7871247938348766e-07,53.38081441990812,29.287524802081077,0.2928752480208108,True,False
first_order_abs,0,54,7.847932183537822e-08,6.11537206018827e-08,1.7325601233495525e-08,8.978830945416404e-09,1.2734994903063068e-08,7.847932437243799e-08,6.115369899362122e-08,3.2327748326823853e-08,3.53343365929183e-07,28.33122999381681,29.49482105205411,0.2833122999381681,True,False
first_order_abs,66,54,7.894446323495268e-08,6.11537206018827e-08,1.7790742633069984e-08,9.12867090807623e-09,1.2734994903063068e-08,7.894446696354862e-08,6.115369899362122e-08,4.7230619960202626e-08,3.53343365929183e-07,29.0918401333087,28.31822095287554,0.2831822095287554,True,False
first_order_abs,68,50,2.369878887074237e-07,1.741873628227445e-07,6.28005258846792e-08,3.4448185814994754e-08,4.7874379394130526e-08,2.3698788709225482e-07,1.74187334778253e-07,6.815406842506316e-09,1.6100187211350373e-07,36.05343399600458,28.044632116488266,0.28044632116488266,True,False
first_order_abs,10,103,8.280944648483691e-08,6.467719250289398e-08,1.8132253981942927e-08,1.086014751461306e-08,1.6147219428219726e-08,8.280944996386097e-08,6.467718094427255e-08,4.2012405709748116e-08,1.7871247938348766e-07,28.035004736996893,32.742924793396334,0.28035004736996894,True,False
first_order_abs,4,26,1.7896841646260672e-07,1.2649505103068067e-07,5.247336543192605e-08,2.06474083608299e-08,2.8597835743937592e-08,1.7896843473863555e-07,1.2649502423300873e-07,1.0211873800997768e-07,2.1184759177155848e-07,41.48254418206363,27.800800921772872,0.2780080092177287,True,False
first_order_abs,89,61,1.5566180091105214e-07,1.2192018378822234e-07,3.374161712282981e-08,1.697718992055286e-08,2.7173746053321678e-08,1.5566179456527607e-07,1.2192018061796261e-07,4.076643106433669e-08,2.6002747230406944e-08,27.675169175794245,37.52355715976968,0.27675169175794245,True,False
first_order_abs,4,59,1.7896841646260672e-07,1.2390988504654918e-07,5.505853141605754e-08,2.06474083608299e-08,2.8547320951588517e-08,1.7896843473863555e-07,1.2390991344091162e-07,1.0211873800997768e-07,2.2915332728812888e-07,44.43433338298532,27.67304366022839,0.2767304366022839,True,False
first_order_abs,70,103,1.0342684881447056e-07,6.467719250289398e-08,3.874965631157658e-08,1.17350959838447e-08,1.6147219428219726e-08,1.0342686351805241e-07,6.467718094427255e-08,1.4216407076539892e-07,1.7871247938348766e-07,59.912396954834925,27.324354288913465,0.27324354288913466,True,False
first_order_abs,86,53,1.2410008493519464e-07,9.752400249585814e-08,2.65760824393365e-08,1.778708713651156e-08,2.5503542300242542e-08,1.2410008309871046e-07,9.752397289730652e-08,1.4798412014014033e-08,3.035001729349403e-07,27.250811860870037,30.256405454930068,0.2725081186087004,True,False
first_order_abs,68,110,2.369878887074237e-07,1.8698696004591304e-07,5.000092866151066e-08,3.4448185814994754e-08,4.9258698009424506e-08,2.3698788709225482e-07,1.869869379333977e-07,6.815406842506316e-09,1.1825699142521454e-07,26.740329191529376,30.066795901905696,0.2674032919152938,True,False
first_order_abs,70,32,1.0342684881447056e-07,8.18308618724767e-08,2.1595986941993856e-08,1.17350959838447e-08,1.725679319442008e-08,1.0342686351805241e-07,8.183085498103537e-08,1.4216407076539892e-07,8.421567577073036e-08,26.39100511448669,31.99723812162738,0.2639100511448669,True,False
first_order_abs,47,71,6.234683585117846e-08,4.947829772923908e-08,1.2868538121939385e-08,7.399098267413251e-09,1.0919421056243549e-08,6.234684235550958e-08,4.9478291686000375e-08,1.0432495933429657e-07,1.2213917984001535e-07,26.00844958806001,32.2390973907672,0.2600844958806001,True,False
first_order_abs,101,61,1.536263056847343e-07,1.2192018378822234e-07,3.1706121896511975e-08,1.940267622124736e-08,2.7173746053321678e-08,1.536263027901441e-07,1.2192018061796261e-07,1.884176143380153e-08,2.6002747230406944e-08,26.005638206374513,28.597712721777626,0.26005638206374515,True,False
first_order_abs,55,54,7.704004311600434e-08,6.11537206018827e-08,1.5886322514121647e-08,8.93364392462459e-09,1.2734994903063068e-08,7.704005611230968e-08,6.115369899362122e-08,1.686954577999346e-07,3.53343365929183e-07,25.977687633338476,29.84964664197991,0.25977687633338475,True,False
first_order_abs,48,43,3.659155429064017e-08,2.8025249030131494e-08,8.566305260508675e-09,5.726884233503426e-09,7.735087914628735e-09,3.659155822788307e-08,2.8025247900131944e-08,1.0759977203499692e-07,4.0320767485874076e-08,30.566384089213862,25.962260588239182,0.25962260588239183,True,False
first_order_abs,22,54,8.120662337631342e-08,6.11537206018827e-08,2.0052902774430725e-08,9.432156233835087e-09,1.2734994903063068e-08,8.120663608224277e-08,6.115369899362122e-08,1.5646419980599118e-07,3.53343365929183e-07,32.79097751873068,25.935139309977817,0.25935139309977817,True,False
first_order_abs,18,32,1.1121424421692042e-07,8.18308618724767e-08,2.9383382344443713e-08,1.278802433946069e-08,1.725679319442008e-08,1.1121424847715389e-07,8.183085498103537e-08,3.830654517715742e-08,8.421567577073036e-08,35.90745798355892,25.895708458767132,0.2589570845876713,True,False
first_order_abs,89,59,1.5566180091105214e-07,1.2390988504654918e-07,3.1751915864502963e-08,1.697718992055286e-08,2.8547320951588517e-08,1.5566179456527607e-07,1.2390991344091162e-07,4.076643106433669e-08,2.2915332728812888e-07,25.625006312107157,40.52965618264728,0.25625006312107157,True,False
first_order_abs,22,103,8.120662337631342e-08,6.467719250289398e-08,1.652943087341944e-08,9.432156233835087e-09,1.6147219428219726e-08,8.120663608224277e-08,6.467718094427255e-08,1.5646419980599118e-07,1.7871247938348766e-07,25.556815677612832,41.58649868007023,0.2555681567761283,True,False
first_order_abs,29,103,8.574879359306396e-08,6.467719250289398e-08,2.107160109016998e-08,1.2049417841275555e-08,1.6147219428219726e-08,8.574878762601656e-08,6.467718094427255e-08,6.958753757411204e-08,1.7871247938348766e-07,32.57964712866461,25.377753768445345,0.25377753768445344,True,False
first_order_abs,79,110,2.519509133831503e-07,1.8698696004591304e-07,6.496395333723723e-08,3.6907157952015264e-08,4.9258698009424506e-08,2.5195089392582304e-07,1.869869379333977e-07,7.722665886699252e-08,1.1825699142521454e-07,34.74250467588003,25.074840701323573,0.25074840701323575,True,False
first_order_abs,92,54,8.498259991944167e-08,6.11537206018827e-08,2.382887931755897e-08,9.588055727149935e-09,1.2734994903063068e-08,8.498260228861909e-08,6.115369899362122e-08,2.787838248032384e-08,3.53343365929183e-07,38.965543033248196,24.710957482646656,0.24710957482646656,True,False
first_order_abs,89,27,1.5566180091105214e-07,1.2530861549373684e-07,3.035318541731531e-08,1.697718992055286e-08,2.7043274819504857e-08,1.5566179456527607e-07,1.2530867365967424e-07,4.076643106433669e-08,4.641814704970573e-07,24.22274422051405,37.22213735627859,0.24222744220514048,True,False
first_order_abs,89,45,1.5566180091105214e-07,1.254834684071946e-07,3.0178332503857556e-08,1.697718992055286e-08,2.6444372291933857e-08,1.5566179456527607e-07,1.2548346717267123e-07,4.076643106433669e-08,9.83813547951381e-09,24.049648042823215,35.80036715134549,0.24049648042823213,True,False
first_order_abs,4,61,1.7896841646260672e-07,1.2192018378822234e-07,5.704823267438438e-08,2.06474083608299e-08,2.7173746053321678e-08,1.7896843473863555e-07,1.2192018061796261e-07,1.0211873800997768e-07,2.6002747230406944e-08,46.791458888774514,24.01707029897708,0.24017070298977083,True,False
first_order_abs,101,59,1.536263056847343e-07,1.2390988504654918e-07,2.971642063818513e-08,1.940267622124736e-08,2.8547320951588517e-08,1.536263027901441e-07,1.2390991344091162e-07,1.884176143380153e-08,2.2915332728812888e-07,23.98228408251817,32.03328517533728,0.23982284082518168,True,False
first_order_abs,101,53,1.536263056847343e-07,9.752400249585814e-08,5.610230318887617e-08,1.940267622124736e-08,2.5503542300242542e-08,1.536263027901441e-07,9.752397289730652e-08,1.884176143380153e-08,3.035001729349403e-07,57.52666190178037,23.921641971033814,0.23921641971033814,True,False
first_order_abs,4,27,1.7896841646260672e-07,1.2530861549373684e-07,5.365980096886988e-08,2.06474083608299e-08,2.7043274819504857e-08,1.7896843473863555e-07,1.2530867365967424e-07,1.0211873800997768e-07,4.641814704970573e-07,42.82211622675849,23.650487972935753,0.23650487972935752,True,False
first_order_abs,30,53,1.3951483361448216e-07,9.752400249585814e-08,4.199083111862402e-08,1.9487615121605018e-08,2.5503542300242542e-08,1.395148103711108e-07,9.752397289730652e-08,1.6660143413524415e-07,3.035001729349403e-07,43.056919367524294,23.58859450900792,0.2358859450900792,True,False
first_order_abs,70,58,1.0342684881447056e-07,8.223306785716865e-08,2.1193780957301914e-08,1.17350959838447e-08,1.5333798630834394e-08,1.0342686351805241e-07,8.22331216454586e-08,1.4216407076539892e-07,6.540956254022636e-07,25.772820483985328,23.469087690724866,0.23469087690724866,True,False
