layer,expert,loss_fn,beta_work,num_score_tokens,reference_active_batch_count,base_loss_at_identity,base_loss_at_work,gradient_at_identity,gradient_at_work,first_order_signed,first_order_abs,hessian_half_at_identity,reference_removal_at_identity,true_removal_at_identity,removal_loss_at_identity,true_removal_delta_at_work,removal_loss_at_work
0,0,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-9.451400995175163e-09,8.978830945416404e-09,8.978830945416404e-09,7.847932437243799e-08,7.847932437243799e-08,7.847932183537822e-08,7.847932183537822e-08,7.980641049925818e-08,1.9126812733686752e-07
0,1,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.44518402484573e-08,7.072924823603444e-08,7.072924823603444e-08,3.5590073821367696e-07,3.559007666353864e-07,3.559007473179022e-07,3.559007473179022e-07,3.9192968170485666e-07,5.03391398542466e-07
0,2,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-5.301147787406535e-08,5.0360903980362076e-08,5.0360903980362076e-08,2.3712965457889368e-07,2.3712964036803896e-07,2.3712965596262547e-07,2.3712965596262547e-07,2.643704208245493e-07,3.7583213766215866e-07
0,3,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.9412369428882812e-08,2.794175095743867e-08,2.794175095743867e-08,1.7458485501720133e-07,1.7458484080634662e-07,1.7458485823640442e-07,1.7458485823640442e-07,1.8550456518423385e-07,2.969662820218432e-07
0,4,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.1734114064031473e-08,2.06474083608299e-08,2.06474083608299e-08,1.7896843473863555e-07,1.7896843473863555e-07,1.7896841646260672e-07,1.7896841646260672e-07,1.8216639645351557e-07,2.936281132911249e-07
0,5,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.3538301590898527e-08,1.28613865113536e-08,1.28613865113536e-08,8.195345913009078e-08,8.195345913009078e-08,8.195346246644651e-08,8.195346246644651e-08,8.682435250505731e-08,1.9828606934266664e-07
0,6,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-8.072270407666338e-09,7.66865688728302e-09,7.66865688728302e-09,4.419067778371755e-08,4.4190681336431226e-08,4.419068141869092e-08,4.419068141869092e-08,4.75507320801278e-08,1.5901244891773712e-07
0,7,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-4.137067577403286e-08,3.930214198533122e-08,3.930214198533122e-08,2.584156675311533e-07,2.584156675311533e-07,2.5841565893326776e-07,2.5841565893326776e-07,2.7252226951322577e-07,3.839839863508351e-07
0,8,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-3.1173259529282404e-08,2.9614596552818284e-08,2.9614596552818284e-08,1.792238748521413e-07,1.792238748521413e-07,1.792239186971403e-07,1.792239186971403e-07,1.9136403750089973e-07,3.0282575433850906e-07
0,9,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.2516035702579984e-09,2.1390233917450983e-09,2.1390233917450983e-09,1.5530849495348775e-08,1.5530851271705615e-08,1.5530847253088392e-08,1.5530847253088392e-08,1.6155621178602367e-08,1.276173380162117e-07
0,10,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.1431734225908485e-08,1.086014751461306e-08,1.086014751461306e-08,8.280944996386097e-08,8.280943575300626e-08,8.280944648483691e-08,8.280944648483691e-08,8.559566074633597e-08,1.970573775839453e-07
0,11,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-7.630646337020153e-09,7.249114020169145e-09,7.249114020169145e-09,4.749316673269277e-08,4.749316673269277e-08,4.749315834090877e-08,4.749315834090877e-08,5.011169137277994e-08,1.6157340821038926e-07
0,12,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-1.8042399574369483e-08,1.7140279595651008e-08,1.7140279595651008e-08,1.0547204709610014e-07,1.0547204709610014e-07,1.0547204342744495e-07,1.0547204342744495e-07,1.1232879922371298e-07,2.2379051606132231e-07
0,13,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-6.252365380987612e-08,5.939747111938231e-08,5.939747111938231e-08,4.0499631381862855e-07,4.0499631381862855e-07,4.049963130729224e-07,4.049963130729224e-07,4.249065987463102e-07,5.363683155839195e-07
0,14,l2,0.95,4096,2,0.0,1.1146171683760932e-07,0.0,-2.900686801865504e-08,2.755652461772229e-08,2.755652461772229e-08,1.6647459233354311e-07,1.6647459233354311e-07,1.6647460659347185e-07,1.6647460659347185e-07,1.777998684457186e-07,2.8926158528332793e-07
