layer,expert,loss_fn,beta_global,num_score_tokens,gradient_signed,gradient_abs,gradient_at_global_zero,ratio_to_global_zero_pct,ratio_valid,first_order_signed,first_order_abs
0,0,l2,0.0,4096,-1.8902795773101388e-07,1.8902795773101388e-07,-1.8902795773101388e-07,100.0,True,0.0,0.0
0,1,l2,0.0,4096,-1.4890361512698291e-06,1.4890361512698291e-06,-1.4890361512698291e-06,100.0,True,0.0,0.0
0,2,l2,0.0,4096,-1.0602295219541702e-06,1.0602295219541702e-06,-1.0602295219541702e-06,100.0,True,0.0,0.0
0,3,l2,0.0,4096,-5.882471043605619e-07,5.882471043605619e-07,-5.882471043605619e-07,100.0,True,0.0,0.0
0,4,l2,0.0,4096,-4.346820219325309e-07,4.346820219325309e-07,-4.346820219325309e-07,100.0,True,0.0,0.0
0,5,l2,0.0,4096,-2.70765141863194e-07,2.70765141863194e-07,-2.70765141863194e-07,100.0,True,0.0,0.0
0,6,l2,0.0,4096,-1.614452926901322e-07,1.614452926901322e-07,-1.614452926901322e-07,100.0,True,0.0,0.0
0,7,l2,0.0,4096,-8.274132028418535e-07,8.274132028418535e-07,-8.274132028418535e-07,100.0,True,0.0,0.0
0,8,l2,0.0,4096,-6.234639329250058e-07,6.234639329250058e-07,-6.234639329250058e-07,100.0,True,0.0,0.0
0,9,l2,0.0,4096,-4.503219308560347e-08,4.503219308560347e-08,-4.503219308560347e-08,100.0,True,0.0,0.0
0,10,l2,0.0,4096,-2.2863483195578738e-07,2.2863483195578738e-07,-2.2863483195578738e-07,100.0,True,0.0,0.0
0,11,l2,0.0,4096,-1.5261311148151435e-07,1.5261311148151435e-07,-1.5261311148151435e-07,100.0,True,0.0,0.0
0,12,l2,0.0,4096,-3.608478493788425e-07,3.608478493788425e-07,-3.608478493788425e-07,100.0,True,0.0,0.0
0,13,l2,0.0,4096,-1.2504727919804282e-06,1.2504727919804282e-06,-1.2504727919804282e-06,100.0,True,0.0,0.0
0,14,l2,0.0,4096,-5.801373390568187e-07,5.801373390568187e-07,-5.801373390568187e-07,100.0,True,0.0,0.0
0,15,l2,0.0,4096,-7.071610141906604e-08,7.071610141906604e-08,-7.071610141906604e-08,100.0,True,0.0,0.0
0,16,l2,0.0,4096,-3.491429424684611e-06,3.491429424684611e-06,-3.491429424684611e-06,100.0,True,0.0,0.0
0,17,l2,0.0,4096,-7.852475221170607e-07,7.852475221170607e-07,-7.852475221170607e-07,100.0,True,0.0,0.0
0,18,l2,0.0,4096,-2.692216725108665e-07,2.692216725108665e-07,-2.692216725108665e-07,100.0,True,0.0,0.0
0,19,l2,0.0,4096,-1.3554326869780198e-06,1.3554326869780198e-06,-1.3554326869780198e-06,100.0,True,0.0,0.0
0,20,l2,0.0,4096,-2.20200789158298e-07,2.20200789158298e-07,-2.20200789158298e-07,100.0,True,0.0,0.0
0,21,l2,0.0,4096,-2.1216150116742938e-06,2.1216150116742938e-06,-2.1216150116742938e-06,100.0,True,0.0,0.0
0,22,l2,0.0,4096,-1.9857180433291433e-07,1.9857180433291433e-07,-1.9857180433291433e-07,100.0,True,0.0,0.0
0,23,l2,0.0,4096,-4.539294877758948e-07,4.539294877758948e-07,-4.539294877758948e-07,100.0,True,0.0,0.0
0,24,l2,0.0,4096,-1.5978405443206611e-07,1.5978405443206611e-07,-1.5978405443206611e-07,100.0,True,0.0,0.0
0,25,l2,0.0,4096,-1.6278852399409516e-07,1.6278852399409516e-07,-1.6278852399409516e-07,100.0,True,0.0,0.0
0,26,l2,0.0,4096,-6.020588614319422e-07,6.020588614319422e-07,-6.020588614319422e-07,100.0,True,0.0,0.0
0,27,l2,0.0,4096,-5.693323998912092e-07,5.693323998912092e-07,-5.693323998912092e-07,100.0,True,0.0,0.0
0,28,l2,0.0,4096,-8.370514592570544e-07,8.370514592570544e-07,-8.370514592570544e-07,100.0,True,0.0,0.0
